Tanggal,DKI Jakarta,Pasar Glodok,Pasar Senen Blok III - VI,Pasar Minggu,Pasar Kramat Jati,Pasar Sunter Podomoro
5-Feb-22,14043,14000,14000,15000,14000,14000
6-Feb-22,14043,14000,14000,15000,14000,14000
7-Feb-22,14074,14000,14000,15000,14000,14000
8-Feb-22,14064,14000,14000,15000,14000,14000
9-Feb-22,14032,14500,14000,15000,14000,14000
10-Feb-22,14032,14500,14000,15000,14000,14000
11-Feb-22,14032,14500,14000,15000,14000,14000
12-Feb-22,13926,14500,14000,15000,14000,14000
13-Feb-22,13926,14500,14000,15000,14000,14000
14-Feb-22,13947,14500,14000,15000,14000,14000
15-Feb-22,14000,14500,14000,15000,14000,14000
16-Feb-22,13957,14500,14000,15000,14000,14000
17-Feb-22,14011,14500,14000,15000,14000,14000
18-Feb-22,14032,14500,14000,15000,14000,14000
19-Feb-22,13936,14500,14000,15000,14000,14000
20-Feb-22,13936,14500,14000,15000,14000,14000
21-Feb-22,14021,14500,14000,15000,14000,14000
22-Feb-22,14021,14500,14000,15000,14000,14000
23-Feb-22,14032,14500,14000,15000,14000,14000
24-Feb-22,14085,14500,14000,15000,14000,14000
25-Feb-22,14053,14500,14000,15000,14000,14000
26-Feb-22,14032,14500,14000,15000,14000,14000
27-Feb-22,14032,14500,14000,15000,14000,14000
28-Feb-22,14160,14500,14000,15000,14000,14000
1-Mar-22,14160,14500,14000,15000,14000,14000
2-Mar-22,14117,14500,14000,15000,14000,14000
3-Mar-22,14160,14500,14000,15000,14000,14000
4-Mar-22,14096,14500,14000,15000,14000,14000
5-Mar-22,14096,14500,14000,15000,14000,14000
6-Mar-22,14085,14500,14000,15000,14000,14000
7-Mar-22,14096,14500,14000,15000,14000,14000
8-Mar-22,14106,14500,14000,15000,14000,14000
9-Mar-22,14160,14500,14000,15000,14000,14000
10-Mar-22,14117,14500,14000,15000,14000,14000
11-Mar-22,14106,14500,14000,15000,14000,14000
12-Mar-22,14085,14500,14000,15000,14000,12000
13-Mar-22,14149,14500,14000,15000,14000,14000
14-Mar-22,14149,14500,14000,15000,14000,14000
15-Mar-22,14223,14500,14000,15000,14000,14000
16-Mar-22,14170,14500,14000,15000,14000,14000
17-Mar-22,14230,14500,14000,15000,14000,14000
18-Mar-22,14255,14500,14000,15000,14000,14000
19-Mar-22,14287,14500,14000,15000,14000,14000
20-Mar-22,14266,14500,14000,15000,14000,14000
21-Mar-22,14266,14500,14000,15000,14000,14000
22-Mar-22,14245,14500,14000,15000,14000,14000
23-Mar-22,14223,14500,14000,15000,14000,14000
24-Mar-22,14213,14500,14000,15000,14000,14000
25-Mar-22,14298,14500,14000,15000,14000,14000
26-Mar-22,14309,14500,14000,15000,14000,14000
27-Mar-22,14351,14500,14000,15000,14000,14000
28-Mar-22,14362,14500,14000,15000,14000,14000
29-Mar-22,14383,14500,14000,15000,14000,14000
30-Mar-22,14351,14500,14000,15000,14000,14000
31-Mar-22,14394,14500,14000,15000,14000,14000
1-Apr-22,14415,14500,15000,15000,14000,14000
2-Apr-22,14404,14500,15000,15000,14000,14000
3-Apr-22,14426,14500,15000,15000,14000,14000
4-Apr-22,14383,14500,14000,15000,14000,14000
5-Apr-22,14415,14500,14000,15000,14000,14000
6-Apr-22,14404,14500,14000,15000,14000,14000
7-Apr-22,14415,14500,14000,15000,14000,14000
8-Apr-22,14415,14500,14000,15000,14000,14000
9-Apr-22,14426,14500,14000,15000,14000,14000
10-Apr-22,14426,14500,14000,15000,14000,14000
11-Apr-22,14383,14500,14000,15000,14000,14000
12-Apr-22,14404,14500,14000,15000,14000,14000
13-Apr-22,14415,14500,14000,15000,14000,14000
14-Apr-22,14457,14500,14000,15000,14000,17000
15-Apr-22,14457,14500,14000,15000,14000,17000
16-Apr-22,14479,14500,14000,15000,14000,17000
17-Apr-22,14404,14500,14000,15000,14000,14000
18-Apr-22,14404,14500,14000,15000,14000,14000
19-Apr-22,14426,14500,14000,15000,14000,14000
20-Apr-22,14426,14500,14000,15000,14000,14000
21-Apr-22,14426,14500,14000,15000,14000,14000
22-Apr-22,14511,14500,14000,15000,14000,14000
23-Apr-22,14447,14500,14000,15000,14000,14000
24-Apr-22,14468,14500,14000,15000,14000,14000
25-Apr-22,14457,14500,14000,15000,14000,14000
26-Apr-22,14415,14500,14000,15000,14000,14000
27-Apr-22,14511,14500,14000,15000,14000,14000
28-Apr-22,14447,14500,14000,15000,14000,14000
29-Apr-22,14447,14500,14000,15000,14000,14000
30-Apr-22,14468,14500,14000,15000,14000,14000
1-Mei-22,14447,14500,14000,15000,14000,14000
2-Mei-22,14447,14500,14000,15000,14000,14000
3-Mei-22,14479,14500,14000,15000,14000,14000
4-Mei-22,14479,14500,14000,15000,14000,14000
5-Mei-22,14479,14500,14000,15000,14000,14000
6-Mei-22,14447,14500,14000,15000,14000,14000
7-Mei-22,14426,14500,14000,15000,14000,14000
8-Mei-22,14426,14500,14000,15000,14000,14000
9-Mei-22,14447,14500,14000,15000,14000,14000
10-Mei-22,14426,14500,14000,15000,14000,14000
11-Mei-22,14447,14500,14000,15000,14000,14000
12-Mei-22,14447,14500,14000,15000,14000,14000
13-Mei-22,14457,14500,14500,15000,14000,14000
14-Mei-22,14436,14500,14500,15000,14000,14000
15-Mei-22,14415,14500,14500,15000,14000,14000
16-Mei-22,14415,14500,14500,15000,14000,14000
17-Mei-22,14404,14500,14500,15000,14000,14000
18-Mei-22,14404,14500,14500,15000,14000,14000
19-Mei-22,14404,14500,14500,15000,14000,14000
20-Mei-22,14404,14500,14500,15000,14000,14000
21-Mei-22,14394,14500,14500,15000,14000,14000
22-Mei-22,14394,14500,14500,15000,14000,14000
